group,ret_sec,rt,mz,intensity,H1,H2,H3a_rep1,H3a_rep2,H3a_rep3,H3b,H4_1,H4_2,H4_3,H5_rep1,H5_rep2,N_rep1,N_rep2,N_rep3,O1a,O1b,O2,O3_rep1,O3_rep2,O3_rep3,O4,P1a,P1b,P2a,P2b_rep1,P2b_rep2,P2b_rep3,P2c,P3,P4a,P4b,P5,P6,QC_rep1,QC_rep2,QC_rep3,QC_rep4,V1a,V1b,V2,V3,V5
M97_R752_9,752.1622925,12.54,96.96054077,13047.9697,16391.7013,26360.30303,17064.2684,17404.61472,17891.00433,25527.02597,20403.25541,16922.50649,19361.93939,16162.58009,12077.48918,20185.34632,25631.61472,23168.12987,20820.84848,25230.15584,13183.2987,16511.8355,18485.64069,9073.272727,17078.74026,8114.17316,9463.857143,10296.72727,10431.1039,11696.99567,10774.1645,24727.96104,17162.38095,15646.64502,12866.2381,13425.81818,10288.77056,13047.9697,16678.61039,17626.42424,19312.08658,19011.06494,13783.70996,23726.88745,13440.35498,20193.97403
M97_R406_12,405.644577,6.76,96.96056366,0,0,0,7922.735931,9293.532468,8866.194805,0,0,0,0,0,0,0,0,0,0,15654.06061,0,44397.2987,49695.45887,46229.69697,0,0,0,0,0,0,0,0,0,0,0,0,12846.99134,0,0,0,0,14440.12987,0,15351.32035,0,0
M99_R51_13,50.95236969,0.85,98.94862366,16789.25974,0,0,15429.52381,11678.38095,14326.60173,0,81039.05195,103650.6797,81124.1039,9783.917749,21660.16883,21737.60606,28230.05195,42094.33766,12438.07792,14260.66667,0,0,0,0,0,10931.93939,0,0,0,0,0,0,0,14521.21212,0,19028.20779,157008.7186,16789.25974,19798.27706,22173.68398,18107.5671,0,0,0,12795.41126,0
M99_R1208_14,1208.269775,20.14,98.94862366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8610.030303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M101_R1141_17,1141.452393,19.02,100.9261398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7441.4329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6518.835498,0,0
M101_R51_18,50.87569427,0.85,100.9462204,0,0,0,0,0,0,0,0,34557.86147,27250.33333,0,0,0,9714.298701,13404.38961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53553.29437,0,0,0,0,0,0,0,0,0
M103_R459_24,458.5956268,7.64,102.9749768,10158.82684,0,0,0,0,0,0,20093.02165,12623.1039,10178.71429,12039.8355,0,0,0,0,11625.04329,20010.55844,0,14938,0,17565.98701,10201.36797,13497.16883,11652.1342,0,0,0,0,8219.748918,0,12718.06494,9640.354978,15748.06494,0,10158.82684,13921.96104,0,0,12431.84848,0,9054.571429,0,0
M103_R1217_28,1217.021729,20.28,103.0215302,0,0,0,0,0,0,8863.060606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M103_R1198_29,1198.101196,19.97,103.0567589,0,7613.701299,9543.822511,0,7547.558442,7972.822511,17468.58874,0,0,0,7524.298701,0,0,0,0,0,0,0,10121.31602,8468.571429,8644.25974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10123.16017,0,0,8867.891775
M103_R1192_30,1191.802856,19.86,103.0584183,0,0,7667.969697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M107_R127_31,126.673069,2.11,107.0372963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27587.27706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M108_R324_32,324.3713989,5.41,108.0223045,0,0,0,23923.75758,24380.40693,26978.34632,5518.277056,0,0,0,0,0,0,0,0,0,14508.47619,0,0,0,0,0,5553.874459,0,0,0,0,0,0,0,0,0,0,13462.56277,0,0,0,0,0,0,0,9770.056277,14349.51515
M108_R193_33,193.3186188,3.22,108.0459448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8347.203463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M108_R481_34,480.6061707,8.01,108.0459727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9180.874459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M109_R183_35,183.2344666,3.05,109.0291426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9303.341991,0,0,0,0,0,0,0,0,0,0,0,0,0
M109_R73_36,73.33342743,1.22,109.0400238,0,0,0,0,0,0,0,0,0,0,0,0,0,7648.943723,11326.8658,0,0,0,0,0,0,0,0,0,0,19505.82251,16634.64069,19684.14719,0,0,0,0,0,0,0,0,0,0,0,0,0,9845.441558,0
M111_R48_37,47.5656929,0.79,110.9763718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7290.900433,0,0,0,0,12396.39827,0,0,0,0,0,0,0,0,0
M111_R195_38,195.3564606,3.26,111.0203552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6534.614719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M112_R652_39,652.1381226,10.87,111.9474487,10133.74459,10744.65368,12939,10149.28139,9330.359307,10037.38528,13689.62771,9791.701299,9954.688312,9093.073593,11666.86147,9053.069264,9183.961039,12760.00866,12611.35498,12891.77056,9653.809524,10890.93074,10791.4329,9340.21645,11273.4329,10296.41991,14150.26407,11552.70996,12255.34199,12081.65801,11571.80519,10457.81385,11008.01299,12821.37662,14260.35065,9566.991342,15828.73593,12833.04329,10133.74459,12038.09524,12336.96537,12015.75758,10991.09957,10593.05628,12027.21212,7442.995671,9375.614719
M112_R401_40,401.140625,6.69,111.9478455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9129.142857,0,14507.34632,13978.27273,14722.41991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M113_R49_41,48.91680527,0.82,112.9852333,0,0,0,0,0,0,0,0,0,0,0,0,0,8630.354978,9330.510823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7950.155844,6718.69697,0,0,0,0,0,0,0,0,0
M115_R1173_42,1172.658508,19.54,114.9347318,0,0,0,0,0,0,0,0,6462.242424,7668.212121,0,9873.393939,13722.52814,0,10897.92641,11955.46753,7787.090909,6963.333333,9878.887446,5953.714286,0,0,0,8888.727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9775.536797,0,11398.49784,0,0
M115_R51_44,51.05146027,0.85,115.04039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7059.61039,7626.948052,7552.883117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M117_R1331_46,1331.244141,22.19,116.9281116,0,0,0,0,0,0,0,0,20333.5368,26052.57143,0,0,21455.80087,37794.93506,0,16420.61905,0,0,0,0,0,14791.22078,0,0,0,0,0,0,0,0,19236.87446,21265.18182,0,0,0,22695.71429,19601.18182,0,0,0,0,0,0
M117_R48_51,47.7931385,0.8,117.0192636,0,0,0,8726.181818,13821.7619,15423.92208,0,0,0,0,0,0,0,0,0,0,0,10142.38095,10301.31169,11756.49784,15745.23377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11946.97403,0,0,28568.52814,8052.350649
M117_R641_52,640.6344604,10.68,117.0347787,0,0,0,0,0,0,0,0,9897.004329,20638.33333,0,0,0,0,0,0,0,0,12788.62771,11818.18615,12896.18615,0,0,0,0,0,0,0,0,72453.78788,0,0,0,0,0,0,0,0,0,0,0,0,0
M117_R186_54,185.5134277,3.09,117.0458679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37714.84848,0
M118_R1176_55,1175.679016,19.59,117.928906,0,0,25403.25541,25261.7316,0,7856.4329,0,8826.528139,8718.883117,25108.70996,9356.813853,22251.24675,30926.05195,32282.48918,16905.329,23294.04329,16681.5974,12724.14719,10584.18615,11452.72727,13753.41558,28586.93074,11018.15152,0,0,0,0,0,13601.08658,14272.87446,0,0,6811.017316,8381.056277,0,0,0,0,21201.04329,0,22923.94372,8336.87013,11342.58009
M118_R218_57,218.4883728,3.64,118.040122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23340.66667,0,0,0,0,0,0,0,0,0,0,0
M118_R69_56,68.77690506,1.15,118.0404663,0,0,0,0,10944.64502,12053.06494,8597.636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M119_R329_64,329.1158142,5.49,118.9242566,0,7999.056277,7563.961039,5499.212121,7276.670996,8069.506494,8079.099567,0,6995.597403,6641.233766,6754.419913,6364.008658,0,6462.177489,10668.11255,0,7754.04329,7595.125541,7115.25974,13470.09957,9003.004329,0,6129.493506,7117.021645,6462.809524,7062.857143,6655.363636,8245.943723,0,9291.220779,9277.74026,0,5596.761905,0,0,6017.965368,8727.74026,8453.445887,9180.199134,0,0,5982.554113,9204.428571
M119_R1328_66,1328.06897,22.13,118.9735947,0,0,7478.857143,0,0,0,0,0,9498.683983,13421.39827,0,6869.25974,10769.03896,0,6917.316017,13875.84416,0,0,0,0,0,0,0,9972.662338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M119_R1328_68,1328.077881,22.13,119.0119705,0,0,13095.81385,0,0,0,0,0,15481.83117,19535.66234,0,14655.68398,16742.90043,15992.1039,12493.95671,21109.78788,8294.649351,10603.671,0,0,0,8613.190476,0,15937.66234,0,0,14869.12121,11883.89177,12101.21645,10228.93939,0,0,9802.264069,10547.27273,0,0,0,0,12170.83983,0,10311.93074,0,0
M119_R54_71,53.9426651,0.9,119.0499119,0,0,0,0,0,0,0,133241.8052,269985.9481,172065.1732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51886.38961,0,0,0,13801.8658,15919.61039,16960.64069,0,0,0,0,0
M119_R568_70,567.7784729,9.46,119.0500259,0,9246.207792,0,0,0,0,0,7790.506494,138217.9524,19199.48052,0,0,0,0,0,0,0,9233.554113,0,0,0,0,0,0,0,0,0,0,0,0,0,8146.112554,0,0,0,0,0,0,0,0,0,0,0
M119_R143_69,142.8997498,2.38,119.0500467,10267.65801,0,0,0,0,0,0,90994.24675,177064.1342,102892.2338,0,0,0,0,0,0,0,8671.229437,0,0,0,0,0,0,0,0,0,0,0,0,0,44344.93506,0,0,10267.65801,16048.62771,23083.07359,21780.2684,0,0,0,0,0
M119_R1328_72,1327.572327,22.13,119.0966873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9177.541126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M120_R53_75,52.7073288,0.88,120.0525284,0,0,0,0,0,0,0,10102.5974,21687.11255,13400.75325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M120_R143_76,142.8197479,2.38,120.0526139,0,0,0,0,0,0,0,7517.917749,13176.2684,8319.939394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M121_R1118_79,1118.355713,18.64,120.9226913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7379.904762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5567.116883,0,0,0,0
M121_R216_80,216.3481445,3.61,121.0288773,49862.39394,199744.987,27009.99134,92422.52381,108248.6926,112487.1429,60621.17749,73862.11688,61853.62338,23063.91775,32005.89177,12709.45887,38251.22078,87664.01732,118849.9307,59041.47619,164010.5022,496833.7056,113715.0303,139844.0606,141134.3203,93710.70563,37079.09091,0,61311.71429,92705.76623,73040.48485,83819.24242,41554.27273,74464.42424,40986.82684,37543.25974,39930.11688,76521.85281,49862.39394,81337.27273,90815.69697,91255.09957,42727.25974,49430.8355,39198.92641,203381.5065,105653.329
M121_R212_81,212.2804871,3.54,121.0788116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9220.090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M121_R212_82,212.2804871,3.54,121.1171188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15682.41126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M122_R138_83,138.2974396,2.3,122.0244886,0,0,0,0,6722.082251,7771.047619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8497.645022,0
M122_R215_85,214.9841003,3.58,122.0331712,0,13808.31169,0,6415.458874,7096.458874,7333.636364,0,0,0,0,0,0,0,6156.108225,8127.948052,0,10947.87879,35704.66667,7778.082251,9562.952381,9588.930736,5894.731602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6360.108225,6252.627706,0,0,0,13914.17316,7412.25974
M122_R402_84,402.0148926,6.7,122.037056,0,0,0,8233.21645,9303.987013,9353.939394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M123_R411_91,411.2266693,6.85,122.9691219,43340.19913,97322.94805,62796.58442,62166.09091,0,66179.60606,60170.22944,140327.2121,58238.35931,121543.6494,0,40343.92641,46492.83117,74468.65368,50643.96537,48886.90476,103540.2944,85723.7013,106273.4416,108259.0433,117696.71,67397.4632,59617.08658,63321.63203,0,64240.93074,62788.93939,60345.99134,45284.48485,70789.87879,66564.87013,48462.47619,67853.85281,81054.54978,43340.19913,0,72574.67532,75434.12987,82270.13853,64595.4632,76904.22078,78624.38961,111467.7403
M123_R223_95,223.1966019,3.72,122.9692046,25828.39394,56108.75758,63901.03896,54629.02597,82363.77922,90760.51948,109960.1299,0,0,0,58167.70563,0,29746.44589,41829.36364,52810.94805,37496.38528,91998.24675,62358.59307,77661.25974,77712.00866,84784.70996,41929.56277,60495.50649,32416.35498,33898.11255,79737.0303,58532.48918,75979.20346,43605.68831,55823.76623,56889.19913,0,56012.1645,73719.35931,25828.39394,55348.61039,62977.73593,64002.41558,53924.75325,39298.64502,52411.78788,129639.342,0
M123_R628_90,628.3771973,10.47,122.9692176,52330.19048,90231.0303,57026.90476,71631.59307,63295.93506,64022.03896,62787.00433,77385.08658,86673.65368,109227.4372,57422.74026,45299.20779,40503.78355,44874.54113,37337.51515,51294.46753,69348.34199,70479.70563,79937.7316,0,81919.88745,62060.26407,57541.99134,55895.54545,55877.77056,57724.31169,55194.22511,60303.8961,54479.8355,59812.42857,63470.15152,48022.97835,73223.9697,75103.96537,52330.19048,67781.70563,65914.88745,67257.42424,79629.93939,64816.15152,67097.61472,63071.58874,108304.4242
M123_R811_89,810.7147217,13.51,122.9694138,50220.96104,87550.75325,49514.96537,55844.03896,60508.41126,66643.99134,103432.7186,92997.46753,81514.78788,108004.2684,69395.8961,57632.28571,26116.84848,38495.44156,33554.37662,51875.95671,72521.97835,45458.88312,61939.58874,0,69115.55411,57967.95671,66534.2381,47500.94805,45444.83983,49859.25541,58706.27273,59776.75325,44419.5671,51902.35065,65882.82684,57835.80519,86694.88745,82752.51515,50220.96104,60802.21212,59103.12987,56436.52381,47348.18615,65088.04329,50853.50649,66695.92641,72620.22511
M123_R1036_93,1035.66626,17.26,122.9695349,0,0,326615.5974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M123_R1143_97,1142.774841,19.05,123.0195847,0,0,9273.515152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M123_R492_98,491.6288605,8.19,123.0460215,0,0,0,0,0,0,0,8462.112554,28043.74459,10968.15152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M123_R1143_100,1142.621338,19.04,123.0582123,0,7292.891775,15608.01732,8143.584416,0,7414.17316,0,0,0,0,0,0,0,0,0,9240.298701,9798.073593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10333.75758,12917.98701,0,0,0,0,7969.666667
M124_R1324_104,1324.295044,22.07,123.9684677,0,0,61941.64502,127898.7316,116214.342,97223.94372,111975.8701,0,0,0,103624.4848,0,0,134148.9524,93165.57576,0,111178.4026,94048.329,116813.9654,123746.4069,100684.3723,57144.52814,73520.2381,0,106204.8009,77582.09957,103819.8225,108801.5671,57876.5671,76465.53247,111185.1905,0,0,10484.19048,0,109512.7489,102193.5498,115882.5931,106392.6623,90538.37229,103214.4935,80849,124599.8268
M124_R697_105,697.0394897,11.62,123.9687614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11412.74892,0,0,6566.272727
M125_R1142_108,1142.268921,19.04,124.9659566,0,0,14431.4632,9435.021645,7446.168831,8755.779221,6589.021645,0,0,0,0,0,0,0,0,10276.55411,10308.88312,0,10381.41126,7806.212121,7553.333333,0,0,0,0,0,0,0,7540.480519,0,6792,0,0,0,0,7776.939394,10783.41558,11898.03463,0,0,8045.281385,0,8646.532468
M125_R705_110,705.2405396,11.75,124.9661624,0,0,0,0,0,0,0,0,5882.848485,7230.805195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7158.943723,0,0,0
M125_R51_111,50.62761688,0.84,124.9917297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25543.22078
M125_R51_112,51.21239471,0.85,125.0605087,0,10136.82251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12356.71429,9497.233766,0,6325.528139,5843.073593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7551.25974,11769.81818
M125_R219_113,219.3190308,3.66,125.0967756,0,10619.47619,7166.454545,14791.41558,13482.10823,16167.95671,23494.93506,10220.22944,9450.731602,0,7082.502165,0,0,0,0,0,7581.073593,8070.774892,7887.722944,7741.229437,7181.004329,6609.406926,10348.99134,0,12336.95671,14166.83117,10777.61472,13452.88745,6762.060606,9413.87013,8163.584416,19838.22944,11470.96537,11895.9697,0,8570.822511,9965.580087,10491.5671,11568.77489,8879.649351,7294.099567,21789.7013,17939.85714
M126_R1326_114,1325.500122,22.09,125.9001694,0,0,18729.33333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78617.19481,0,0,0
M126_R788_115,788.3180542,13.14,126.0106319,0,0,0,0,0,0,0,0,0,0,0,0,9222.645022,13889.99567,11080.28571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M127_R433_118,432.5365601,7.21,126.9038467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7866.220779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M127_R536_117,535.7773438,8.93,126.9039841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7754.974026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M127_R49_116,48.9698143,0.82,126.9051924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13226.22078,11774.01299,10809.27273,15374.42424,7914.562771,9485.987013,0,7546.324675,34293.64069,6767.290043,0,0,0,0,0,0,0,0,7485.614719
M127_R51_119,51.04120636,0.85,127.0397491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6352.965368
M127_R53_120,52.93538666,0.88,127.0765356,0,15969.47619,0,7813.090909,0,7176.813853,11034.70996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8089.761905,0,8112.428571,0
M127_R327_121,326.9806824,5.45,127.1134033,0,0,0,0,0,0,7386.320346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6912.08658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M128_R47_122,46.92899132,0.78,128.03466,0,26292.83117,0,30754.59307,37068.00866,44166.36797,56051.36797,9892.324675,13088.27706,0,7005.073593,0,0,0,0,0,25763.5974,24724.65801,22626.40693,22929.21212,24227.23377,11414.90043,0,0,15291.20346,0,0,0,8983.138528,15130.85714,9715.571429,0,0,11341.36797,0,14032.24675,16309.58874,18533.29437,13194.68398,0,27898.31169,22247.36364,18645.13853
M129_R48_123,47.70957184,0.8,129.0184631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8667.943723,8342.536797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6993.142857,0
M129_R53_124,52.92297745,0.88,129.0552368,0,17202.1645,0,0,0,0,0,0,0,0,0,0,0,0,0,6150.277056,8406.614719,0,8816.21645,10452.0303,9172.554113,0,0,0,0,0,0,0,0,0,0,0,0,6421.887446,0,0,0,0,0,0,0,0,0
M130_R69_125,69.23600006,1.15,130.0873871,11123.30303,72624.93506,26533.12987,0,0,0,37115.2381,93765.5974,84252.7013,35406.16883,56306.75325,14070.42857,0,0,0,22372.03896,37163.07359,11017.87879,7649.502165,0,7075.181818,0,18546.70563,11775.64069,28584.39394,18772.38528,15079.01732,19000.09957,16514.35931,52931.8355,40634.39394,7069.242424,47016.09957,27178.57143,11123.30303,19937.03463,27577.68831,26939.87446,0,0,11999.84848,0,14192.14286
M131_R50_126,50.09653091,0.83,131.0341949,0,0,0,11599.68398,14963.75758,0,0,0,0,0,0,0,0,0,0,0,0,11468.67532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10617.45022,0,0,0,0
M131_R114_127,114.3920174,1.91,131.0708771,0,0,0,0,7550.372294,8075.47619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5907.4329,11283.74892
M133_R583_132,582.677002,9.71,133.0284002,0,15519.4632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M133_R847_131,847.2683105,14.12,133.028644,0,33720.03463,0,23038.1342,22814.48918,25493.34632,16469.22078,39180.50649,11050.67532,0,11078.92208,0,0,0,0,0,0,20208.34632,23257.03896,33085.83983,28908.55844,30980.52814,0,0,0,0,0,0,6293.87013,26297.54113,0,5894.852814,0,0,0,0,6332.458874,13464.77922,0,0,17714.77489,17517.08225,6602.770563
