mz,rt,intensity,CCS,Compound,NeutralFormula,CAS,SuperClass,Class,Subclass
882.3767,824,12939,194.7,Cs(NaI)5 or Na(CsI)(NaI)4,CsNa5I5,,Mixed metal/non-metal compounds,Alkali metal salts,Alkali metal iodides
1032.2709,115,178,204,Cs(NaI)6 or Na(CsI)(NaI)5,CsNa6I6,,Mixed metal/non-metal compounds,Alkali metal salts,Alkali metal iodides
1182.1652,856,11528,216.7,Cs(NaI)7 or Na(CsI)(NaI)6,CsNa7I7,,Mixed metal/non-metal compounds,Alkali metal salts,Alkali metal iodides
1481.9537,871,14386,241.5,Cs(NaI)9 or Na(CsI)(NaI)8,CsNa9I9,,Mixed metal/non-metal compounds,Alkali metal salts,Alkali metal iodides
282.7997,241,7579,132.8,Na(CsI)1 or Cs(NaI)1,CsNaI,,Mixed metal/non-metal compounds,Alkali metal salts,Alkali metal iodides
542.6096,297,370,155.8,Na(CsI)2 or Cs(NaI)(CsI),Cs2NaI2,,Mixed metal/non-metal compounds,Alkali metal salts,Alkali metal iodides
802.4195,1072,13715,169.9,Na(CsI)3 or Cs(NaI)(CsI)2,Cs3NaI3,,Mixed metal/non-metal compounds,Alkali metal salts,Alkali metal iodides
1062.2294,929,14242,187.6,Na(CsI)4 or Cs(CsI)3(NaI),Cs4NaI4,,Mixed metal/non-metal compounds,Alkali metal salts,Alkali metal iodides
1322.0393,1134,12885,209.2,Na(CsI)5 or Cs(CsI)4(NaI),Cs5NaI5,,Mixed metal/non-metal compounds,Alkali metal salts,Alkali metal iodides
1322.0594,1083,1941,230.9,Na(CsI)5 or Cs(CsI)4(NaI),Cs5NaI5,,Mixed metal/non-metal compounds,Alkali metal salts,Alkali metal iodides
1581.8492,624,5737,218.6,Na(CsI)6 or Cs(CsI)5(NaI),Cs6NaI6,,Mixed metal/non-metal compounds,Alkali metal salts,Alkali metal iodides
172.884,1607,9065,136.8,Na(NaI)1,Na2I,,Mixed metal/non-metal compounds,Alkali metal salts,Alkali metal iodides
1521.9322,635,6041,254,Na(NaI)10,Na11I10,,Mixed metal/non-metal compounds,Alkali metal salts,Alkali metal iodides
1671.8265,309,1344,265,Na(NaI)11,Na12I11,,Mixed metal/non-metal compounds,Alkali metal salts,Alkali metal iodides
1821.7207,1413,7444,272.7,Na(NaI)12,Na13I12,,Mixed metal/non-metal compounds,Alkali metal salts,Alkali metal iodides
1971.615,279,10561,276.9,Na(NaI)13,Na14I13,,Mixed metal/non-metal compounds,Alkali metal salts,Alkali metal iodides
2121.5092,825,9875,292.3,Na(NaI)14,Na15I14,,Mixed metal/non-metal compounds,Alkali metal salts,Alkali metal iodides
2421.2977,498,10211,311.2,Na(NaI)16,Na17I16,,Mixed metal/non-metal compounds,Alkali metal salts,Alkali metal iodides
2571.192,1545,13661,317.2,Na(NaI)17,Na18I17,,Mixed metal/non-metal compounds,Alkali metal salts,Alkali metal iodides
472.6725,605,10472,164,Na(NaI)3,Na4I3,,Mixed metal/non-metal compounds,Alkali metal salts,Alkali metal iodides
622.5668,1041,6299,183.4,Na(NaI)4,Na5I4,,Mixed metal/non-metal compounds,Alkali metal salts,Alkali metal iodides
772.461,1170,7504,192,Na(NaI)5,Na6I5,,Mixed metal/non-metal compounds,Alkali metal salts,Alkali metal iodides
922.3553,1429,3758,202,Na(NaI)6,Na7I6,,Mixed metal/non-metal compounds,Alkali metal salts,Alkali metal iodides
1072.2495,217,9251,215.5,Na(NaI)7,Na8I7,,Mixed metal/non-metal compounds,Alkali metal salts,Alkali metal iodides
1222.1437,1238,14986,229.2,Na(NaI)8,Na9I8,,Mixed metal/non-metal compounds,Alkali metal salts,Alkali metal iodides
1372.038,847,7411,240.7,Na(NaI)9,Na10I9,,Mixed metal/non-metal compounds,Alkali metal salts,Alkali metal iodides
562.9572,960,6606,182.9,PFUdA,C11HF21O2,2058-94-8,Organohalogen compounds,Alkyl halides,Alkyl fluorides
518.9687,960,9854,163.4,PFUdA,C11HF21O2,2058-94-8,Organohalogen compounds,Alkyl halides,Alkyl fluorides
569.9697,963,11293,192.7,N_MeFOSAA,C11H6F17NO4S,2355-31-9,Organohalogen compounds,Alkyl halides,Alkyl fluorides
218.9861,300,5363,117.4,PFPeA,C5HF9O2,2706-90-3,Organohalogen compounds,Alkyl halides,Alkyl fluorides
598.9263,869,5218,186.2,PFDS-L,C10HF21O3S,2806-15-7,Organohalogen compounds,Alkyl halides,Alkyl fluorides
298.9444,300,1646,133.6,PFBS-L,C4HF9O3S,29420-49-3,Organohalogen compounds,Alkyl halides,Alkyl fluorides
583.9843,1136,4501,196.3,N_EtFOSAA,C12H8F17NO4S,2991-50-6,Organohalogen compounds,Alkyl halides,Alkyl fluorides
297.9592,538,5473,135,FBSA,C4H2F9SO2N,30334-69-1,Organohalogen compounds,Alkyl halides,Alkyl fluorides
268.9837,360,2868,125.1,PFHxA,C6HF11O2,307-24-4,Organohalogen compounds,Alkyl halides,Alkyl fluorides
612.9539,1000,1040,191.4,PFDoA,C12HF23O2,307-55-1,Organohalogen compounds,Alkyl halides,Alkyl fluorides
568.965,373,6913,171.5,PFDoA,C12HF23O2,307-55-1,Organohalogen compounds,Alkyl halides,Alkyl fluorides
512.9604,860,1005,174.2,PFDA,C10HF19O2,335-76-2,Organohalogen compounds,Alkyl halides,Alkyl fluorides
468.9698,860,13576,155.3,PFDA,C10HF19O2,335-76-2,Organohalogen compounds,Alkyl halides,Alkyl fluorides
168.9894,250,4943,110.8,PFBA,C4HF7O2,375-22-4,Organohalogen compounds,Alkyl halides,Alkyl fluorides
318.9803,450,1921,132.4,PFHpA,C7HF13O2,375-85-9,Organohalogen compounds,Alkyl halides,Alkyl fluorides
448.9336,500,500,159.2,PFHpS-L,C7HF15O3S,375-92-8,Organohalogen compounds,Alkyl halides,Alkyl fluorides
462.9633,800,14052,165.2,PFNA,C9HF17O2,375-95-1,Organohalogen compounds,Alkyl halides,Alkyl fluorides
418.9751,800,14950,147,PFNA,C9HF17O2,375-95-1,Organohalogen compounds,Alkyl halides,Alkyl fluorides
498.9298,650,13605,168.3,PFOS-L,C8HF17O3S,4021-47-0,Organohalogen compounds,Alkyl halides,Alkyl fluorides
397.9529,740,12275,152,FHxSA,C6H2F13SO2N,41997-13-1,Organohalogen compounds,Alkyl halides,Alkyl fluorides
525.9766,854,1371,178.4,N-ethylperfluorooctane sulfonamide,C10H6F17NO2S,4151-50-2,Organohalogen compounds,Alkyl halides,Alkyl fluorides
1168.9729,560,2839,283.6,N-ethylperfluorooctane sulfonamido acetic acid,C12H8F17NO4S,2991-50-6,Organohalogen compounds,Alkyl halides,Alkyl fluorides
583.9839,847,5356,196.8,N-ethylperfluorooctane sulfonamido acetic acid,C12H8F17NO4S,2991-50-6,Organohalogen compounds,Alkyl halides,Alkyl fluorides
511.9613,646,6789,174,N-methylperfluorooctane sulfonamide,C9H4F17NO2S,31506-32-8,Organohalogen compounds,Alkyl halides,Alkyl fluorides
1140.9423,865,524,275.8,N-methylperfluorooctane sulfonamido acetic acid,C11H6F17NO4S,2355-31-9,Organohalogen compounds,Alkyl halides,Alkyl fluorides
569.9687,865,4696,193.2,N-methylperfluorooctane sulfonamido acetic acid,C11H6F17NO4S,2355-31-9,Organohalogen compounds,Alkyl halides,Alkyl fluorides
698.921,844,6717,203.7,PFDoS-L,C12HF25O3S,79780-39-5,Organohalogen compounds,Alkyl halides,Alkyl fluorides
598.8926,300,300,196.9,Perfluorobutanesulfonic acid,C4HF9O3S,375-73-5,Organohalogen compounds,Alkyl halides,Alkyl fluorides
298.943,300,300,133.3,Perfluorobutanesulfonic acid,C4HF9O3S,375-73-5,Organohalogen compounds,Alkyl halides,Alkyl fluorides
598.923,971,11699,186.9,Perfluorodecane sulfonic acid,C10HF21O3S,335-77-3,Organohalogen compounds,Alkyl halides,Alkyl fluorides
598.9329,838,13305,188.3,Perfluorodecylphosponic acid,C10H2F21O3P,,Organohalogen compounds,Alkyl halides,Alkyl fluorides
798.8799,688,450,228.7,Perfluorohexanesulfonic acid,C6HF13O3S,355-46-4,Organohalogen compounds,Alkyl halides,Alkyl fluorides
398.9357,785,450,150.8,Perfluorohexanesulfonic acid,C6HF13O3S,355-46-4,Organohalogen compounds,Alkyl halides,Alkyl fluorides
398.9378,778,450,150.5,PFHxS-L,C6HF13O3S,82382-12-5,Organohalogen compounds,Alkyl halides,Alkyl fluorides
168.9894,420,3927,109.5,Perfluoro-n-butanoic acid,C4HF7O2,375-22-4,Organohalogen compounds,Alkyl halides,Alkyl fluorides
1026.9277,860,2356,254.3,Perfluoro-n-decanoic acid,C10HF19O2,335-76-2,Organohalogen compounds,Alkyl halides,Alkyl fluorides
512.9578,860,6724,174.3,Perfluoro-n-decanoic acid,C10HF19O2,335-76-2,Organohalogen compounds,Alkyl halides,Alkyl fluorides
468.9721,860,4353,155.6,Perfluoro-n-decanoic acid,C10HF19O2,335-76-2,Organohalogen compounds,Alkyl halides,Alkyl fluorides
1226.9146,1000,10065,278.8,Perfluoro-n-dodecanoic acid,C12HF23O2,307-55-1,Organohalogen compounds,Alkyl halides,Alkyl fluorides
612.9547,650,11885,192.2,Perfluoro-n-dodecanoic acid,C12HF23O2,307-55-1,Organohalogen compounds,Alkyl halides,Alkyl fluorides
568.9644,1084,6849,172.3,Perfluoro-n-dodecanoic acid,C12HF23O2,307-55-1,Organohalogen compounds,Alkyl halides,Alkyl fluorides
726.9461,450,8744,211.6,Perfluoro-n-heptanoic acid,C7HF13O2,375-85-9,Organohalogen compounds,Alkyl halides,Alkyl fluorides
362.97,450,13862,147.6,Perfluoro-n-heptanoic acid,C7HF13O2,375-85-9,Organohalogen compounds,Alkyl halides,Alkyl fluorides
318.9788,450,12749,132.3,Perfluoro-n-heptanoic acid,C7HF13O2,375-85-9,Organohalogen compounds,Alkyl halides,Alkyl fluorides
626.9529,360,489,195.9,Perfluoro-n-hexanoic acid,C6HF11O2,307-24-4,Organohalogen compounds,Alkyl halides,Alkyl fluorides
268.9841,360,9575,124.5,Perfluoro-n-hexanoic acid,C6HF11O2,307-24-4,Organohalogen compounds,Alkyl halides,Alkyl fluorides
926.9338,800,13760,240.7,Perfluoro-n-nonanoic acid,C9HF17O2,375-95-1,Organohalogen compounds,Alkyl halides,Alkyl fluorides
462.9633,800,1063,165.1,Perfluoro-n-nonanoic acid,C9HF17O2,375-95-1,Organohalogen compounds,Alkyl halides,Alkyl fluorides
418.973,800,8330,147.1,Perfluoro-n-nonanoic acid,C9HF17O2,375-95-1,Organohalogen compounds,Alkyl halides,Alkyl fluorides
548.9261,593,6799,177.2,PFNS-L,C9HF19SO3,98789-57-2,Organohalogen compounds,Alkyl halides,Alkyl fluorides
826.94,700,7095,226.6,Perfluoro-n-octanoic acid,C8HF15O2,335-67-1,Organohalogen compounds,Alkyl halides,Alkyl fluorides
412.9656,700,3092,156.4,Perfluoro-n-octanoic acid,C8HF15O2,335-67-1,Organohalogen compounds,Alkyl halides,Alkyl fluorides
368.9774,700,4961,139.4,Perfluoro-n-octanoic acid,C8HF15O2,335-67-1,Organohalogen compounds,Alkyl halides,Alkyl fluorides
1126.921,950,2253,266.8,Perfluoro-n-undecanoic acid,C11HF21O2,2058-94-8,Organohalogen compounds,Alkyl halides,Alkyl fluorides
562.9565,950,690,182.9,Perfluoro-n-undecanoic acid,C11HF21O2,2058-94-8,Organohalogen compounds,Alkyl halides,Alkyl fluorides
518.9653,950,2021,163.8,Perfluoro-n-undecanoic acid,C11HF21O2,2058-94-8,Organohalogen compounds,Alkyl halides,Alkyl fluorides
497.9457,755,12986,170.1,Perfluorooctane sulfonamide,C8H2F17NO2S,754-91-6,Organohalogen compounds,Alkyl halides,Alkyl fluorides
998.8676,194,6770,257.7,Perfluorooctylsulfonic acid,C8HF17O3S,1763-23-1,Organohalogen compounds,Alkyl halides,Alkyl fluorides
498.9305,870,982,168.9,Perfluorooctylsulfonic acid,C8HF17O3S,1763-23-1,Organohalogen compounds,Alkyl halides,Alkyl fluorides
526.9596,758,7391,180,Perfluoropentanoic acid,C5HF9O2,2706-90-3,Organohalogen compounds,Alkyl halides,Alkyl fluorides
218.9859,199,7259,116.8,Perfluoropentanoic acid,C5HF9O2,2706-90-3,Organohalogen compounds,Alkyl halides,Alkyl fluorides
269.045,1456,14801,156.4,Emodin,C15H10O5,518-82-1,Benzenoids,Anthracenes,Anthraquinones
271.0606,1260,13971,160.3,Emodin,C15H10O5,518-82-1,Benzenoids,Anthracenes,Anthraquinones
209.0603,1435,6770,140.2,Anthraquinone,C14H8O2,,Benzenoids,Anthracenes,Anthraquinones
179.0861,491,13959,133.3,Anthracene,C14H10,120-12-7,Benzenoids,Anthracenes,
178.0782,1225,12437,132.3,Anthracene,C14H10,120-12-7,Benzenoids,Anthracenes,
207.1174,1499,3138,144.4,"2,3-Dimethylanthracene",C16H14,613-06-9,Benzenoids,Anthracenes,
193.1017,201,13146,137,2-Methylanthracene,C15H12,613-12-7,Benzenoids,Anthracenes,
192.0939,1548,790,135.7,2-Methylanthracene,C15H12,613-12-7,Benzenoids,Anthracenes,
192.0939,1213,10321,134.8,9-Methylanthracene,C15H12,779-02-2,Benzenoids,Anthracenes,
137.0351,112,11406,121.3,Urocanate,C6H6N2O2,104-98-3,Organoheterocyclic compounds,Azoles,Imidazoles
139.0493,806,4838,134.8,Urocanate,C6H6N2O2,104-98-3,Organoheterocyclic compounds,Azoles,Imidazoles
391.2854,644,13740,200.5,Ursodeoxycholic Acid,C24H40O4,128-13-2,Organoheterocyclic compounds,Azoles,Imidazoles
415.2815,825,9807,199.2,Ursodeoxycholic Acid,C24H40O4,128-13-2,Organoheterocyclic compounds,Azoles,Imidazoles
127.0501,1725,13992,124,4-Imidazoleacetate,C5H6N2O2,3251-69-2,Organoheterocyclic compounds,Azoles,Imidazoles
235.1058,700,11088,148.9,D-Desthiobin,C10H18N2O3,533-48-2,Organoheterocyclic compounds,Azoles,Imidazoles
213.1239,700,1290,154.7,D-Desthiobin,C10H18N2O3,533-48-2,Organoheterocyclic compounds,Azoles,Imidazoles
215.1386,700,4771,144.5,D-Desthiobin,C10H18N2O3,533-48-2,Organoheterocyclic compounds,Azoles,Imidazoles
253.0943,700,7899,156.1,D-Desthiobin,C10H18N2O3,533-48-2,Organoheterocyclic compounds,Azoles,Imidazoles
237.1215,700,135,156.5,D-Desthiobin,C10H18N2O3,533-48-2,Organoheterocyclic compounds,Azoles,Imidazoles
157.0373,1091,10356,126.7,Allantoin,C4H6N4O3,97-59-6,Organoheterocyclic compounds,Azoles,Imidazoles
181.0325,374,4355,143.3,Allantoin,C4H6N4O3,97-59-6,Organoheterocyclic compounds,Azoles,Imidazoles
433.0333,1049,14688,194.7,Halosulfuron-methyl,C13H15ClN6O7S,100784-20-1,Organoheterocyclic compounds,Azoles,Pyrazoles
435.049,288,14077,195.2,Halosulfuron-methyl,C13H15ClN6O7S,100784-20-1,Organoheterocyclic compounds,Azoles,Pyrazoles
457.0309,269,1536,200.1,Halosulfuron-methyl,C13H15ClN6O7S,100784-20-1,Organoheterocyclic compounds,Azoles,Pyrazoles
270.1261,141,13225,173.5,Acetochlor,C14H20ClNO2,34256-82-1,Benzenoids,Benzene and substituted derivatives,Anilides
292.108,1580,11408,159.1,Acetochlor,C14H20ClNO2,34256-82-1,Benzenoids,Benzene and substituted derivatives,Anilides
284.1417,867,279,160.4,Metolachlor,C15H22ClNO2,51218-45-2,Benzenoids,Benzene and substituted derivatives,Anilides
306.1237,867,12171,174.7,Metolachlor,C15H22ClNO2,51218-45-2,Benzenoids,Benzene and substituted derivatives,Anilides
296.9997,1002,6463,149.1,6-Phosphogluconate,C6H13O10P,53411-70-4,Benzenoids,Benzene and substituted derivatives,Anilides
275.017,1162,7953,143.7,6-Phosphogluconate,C6H13O10P,53411-70-4,Benzenoids,Benzene and substituted derivatives,Anilides
299.0123,857,3944,157.3,6-Phosphogluconate,C6H13O10P,53411-70-4,Benzenoids,Benzene and substituted derivatives,Anilides
247.0337,287,13354,147.9,3-Nitro-L-tyrosine,C9H10N2O5,621-44-3,Benzenoids,Benzene and substituted derivatives,Anilides
225.0521,1110,6067,149,3-Nitro-L-tyrosine,C9H10N2O5,621-44-3,Benzenoids,Benzene and substituted derivatives,Anilides
227.0673,557,465,158.6,3-Nitro-L-tyrosine,C9H10N2O5,621-44-3,Benzenoids,Benzene and substituted derivatives,Anilides
249.0475,626,8269,154.7,3-Nitro-L-tyrosine,C9H10N2O5,621-44-3,Benzenoids,Benzene and substituted derivatives,Anilides
746.5699,1583,4662,282.7,1-Stearoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine,C41H80NO8P,6418-95-7,Benzenoids,Benzene and substituted derivatives,Anilides
768.5519,1525,4382,287.8,1-Stearoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine,C41H80NO8P,6418-95-7,Benzenoids,Benzene and substituted derivatives,Anilides
744.5543,368,1915,273.5,1-Stearoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine,C41H80NO8P,6418-95-7,Benzenoids,Benzene and substituted derivatives,Anilides
282.1454,421,2051,161.6,Pendimethalin,C13H19N3O4,40487-42-1,Benzenoids,Benzene and substituted derivatives,Aniline and substituted anilines
304.1273,839,3835,186.6,Pendimethalin,C13H19N3O4,40487-42-1,Benzenoids,Benzene and substituted derivatives,Aniline and substituted anilines
109.0766,233,11640,129.1,"1,2-Phenylenediamine",C6H8N2,95-54-5,Benzenoids,Benzene and substituted derivatives,Aniline and substituted anilines
108.0461,1735,8289,118.3,2-Aminophenol,C6H7NO,95-55-6,Benzenoids,Benzene and substituted derivatives,Aniline and substituted anilines
